Loading parameters

Initial system energy
-102740.39344255207 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
7.3%	730000	629.9999999921964	-102496.60778447147	200.04725250294604	131	1:41:35
7.3%	735000	634.9999999920782	-101843.57656781143	203.89892951332405	131	1:41:31
7.4%	740000	639.99999999196	-101784.21454799967	202.7208219539558	131	1:41:28
7.5%	745000	644.9999999918417	-102232.46171348263	198.6708921370025	131	1:41:25
7.5%	750000	649.9999999917235	-101827.61531456793	201.01358579342954	131	1:41:21
7.5%	755000	654.9999999916053	-102416.64872623654	201.54743285235688	131	1:41:17
7.6%	760000	659.999999991487	-101957.1751457518	205.4910977412461	131	1:41:14
7.7%	765000	664.9999999913688	-101869.36472245399	201.02115152628525	131	1:41:10
7.7%	770000	669.9999999912505	-101936.7235161229	203.22467889603766	131	1:41:08
7.8%	775000	674.9999999911323	-101948.32369370013	199.05321819566214	131	1:41:04
7.8%	780000	679.9999999910141	-102408.80559909577	199.93180134762562	131	1:41:00
7.8%	785000	684.9999999908958	-101768.4508071118	202.00530031285547	131	1:40:57
7.9%	790000	689.9999999907776	-102037.94515569415	198.8525093774839	131	1:40:54
8.0%	795000	694.9999999906594	-102555.21127581503	199.19583069670614	131	1:40:50
8.0%	800000	699.9999999905411	-102007.83177410997	202.75639978677242	131	1:40:47
8.1%	805000	704.9999999904229	-102586.87717948714	202.58356939630465	131	1:40:43
8.1%	810000	709.9999999903047	-102121.43859848194	204.6487995596498	131	1:40:40
8.2%	815000	714.9999999901864	-102298.09262739122	201.39602210954493	131	1:40:36
8.2%	820000	719.9999999900682	-101935.67318777414	206.0075952856239	131	1:40:33
8.2%	825000	724.99999998995	-102181.36307300674	202.26023246690755	131	1:40:29
8.3%	830000	729.9999999898317	-102866.96775703412	200.24137226750346	131	1:40:26
8.3%	835000	734.9999999897135	-102944.97686207714	203.49548430377797	131	1:40:23
8.4%	840000	739.9999999895953	-102426.4332664106	199.22951380440304	131	1:40:19
8.4%	845000	744.999999989477	-102555.31993712438	199.75821158132	131	1:40:15
8.5%	850000	749.9999999893588	-102110.95351666305	201.70216436218476	131	1:40:12
8.6%	855000	754.9999999892406	-101942.58847523527	203.51745593343875	131	1:40:09
8.6%	860000	759.9999999891223	-102280.06980122346	204.7789083013812	131	1:40:05
8.7%	865000	764.9999999890041	-103027.40096045332	200.10626022565626	131	1:40:02
8.7%	870000	769.9999999888859	-102509.18703141017	200.10347573410203	131	1:39:58
8.8%	875000	774.9999999887676	-103082.45671102311	200.9989177431245	131	1:39:56
8.8%	880000	779.9999999886494	-102022.80859370902	206.12025082043814	131	1:39:52
8.8%	885000	784.9999999885312	-102430.21032888861	204.76647893523972	132	1:39:48
8.9%	890000	789.9999999884129	-102704.1579202828	201.65725056666085	132	1:39:45
8.9%	895000	794.9999999882947	-102256.76060892735	206.9506132987634	132	1:39:42
9.0%	900000	799.9999999881765	-101653.4782252931	205.28251111542733	132	1:39:38
9.1%	905000	804.9999999880582	-102544.23123886669	199.86175433694876	132	1:39:35
9.1%	910000	809.99999998794	-102537.6299863453	205.7751363155522	132	1:39:31
9.2%	915000	814.9999999878218	-102669.12829926284	199.70506657823864	132	1:39:28
9.2%	920000	819.9999999877035	-102725.92380149756	203.29519772667584	132	1:39:24
9.2%	925000	824.9999999875853	-102644.7300177929	205.91391592327946	132	1:39:21
9.3%	930000	829.999999987467	-102062.97721119318	204.68646588829947	132	1:39:17
9.3%	935000	834.9999999873488	-102094.25528000528	202.43739154712915	132	1:39:14
9.4%	940000	839.9999999872306	-102251.85094224475	198.47655249357757	132	1:39:11
9.4%	945000	844.9999999871123	-102363.0120865386	206.12788221477555	132	1:39:07
9.5%	950000	849.9999999869941	-102662.43919536378	200.44798458295733	132	1:39:04
9.6%	955000	854.9999999868759	-102700.93698164169	202.86711516562218	132	1:39:00
9.6%	960000	859.9999999867576	-102666.52407883946	199.3011055921796	132	1:38:57
9.7%	965000	864.9999999866394	-102129.5497115464	200.83776857430922	132	1:38:54
9.7%	970000	869.9999999865212	-102540.08102700021	203.9751179804492	132	1:38:50
9.8%	975000	874.9999999864029	-102681.8616257594	200.37002960206922	132	1:38:47
9.8%	980000	879.9999999862847	-102059.02152670734	206.01995089968364	132	1:38:44
9.8%	985000	884.9999999861665	-102153.49133958202	203.82677740809225	132	1:38:40
9.9%	990000	889.9999999860482	-102649.66916920431	201.84781687355775	132	1:38:37
9.9%	995000	894.99999998593	-102443.78182834154	203.9403062543314	132	1:38:33
10.0%	1000000	899.9999999858118	-102349.83279461507	203.17875327917145	132	1:38:30
10.1%	1005000	904.9999999856935	-102486.0182020762	198.31849062831728	132	1:38:27
10.1%	1010000	909.9999999855753	-101989.70907761296	201.65360079150503	132	1:38:23
10.2%	1015000	914.9999999854571	-101900.35136584239	201.50208174433595	132	1:38:20
10.2%	1020000	919.9999999853388	-102996.58548219968	203.1479256089784	132	1:38:16
10.2%	1025000	924.9999999852206	-102438.07175745023	201.2478880998849	132	1:38:13
10.3%	1030000	929.9999999851024	-102564.79790821066	200.28751199052263	132	1:38:10
10.3%	1035000	934.9999999849841	-102940.91318623442	204.41257417705316	132	1:38:06
10.4%	1040000	939.9999999848659	-102135.01763255475	199.43800581712847	132	1:38:03
10.4%	1045000	944.9999999847477	-102620.35275407555	203.5349073244691	132	1:38:00
10.5%	1050000	949.9999999846294	-102360.2226018738	204.10069424704656	132	1:37:56
10.6%	1055000	954.9999999845112	-102237.16151277022	200.7376368098997	132	1:37:53
10.6%	1060000	959.999999984393	-102610.82232913747	203.23969784656376	132	1:37:49
10.7%	1065000	964.9999999842747	-101856.45176451141	205.7883697494674	132	1:37:46
10.7%	1070000	969.9999999841565	-102488.2739485749	198.6388203068695	132	1:37:43
10.8%	1075000	974.9999999840383	-102145.34888429614	203.55755108515356	132	1:37:39
10.8%	1080000	979.99999998392	-101923.38747793622	202.06019708767298	132	1:37:36
10.8%	1085000	984.9999999838018	-101219.48179163225	203.59357664655863	132	1:37:33
10.9%	1090000	989.9999999836836	-102785.52904043859	205.83520029095882	132	1:37:29
10.9%	1095000	994.9999999835653	-102002.17106621945	202.6949001607261	132	1:37:26
11.0%	1100000	999.9999999834471	-101422.89093374787	198.64151897768275	132	1:37:22
11.1%	1105000	1004.9999999833288	-102805.46923509194	197.48983738604971	132	1:37:19
11.1%	1110000	1009.9999999832106	-101631.82103778841	202.47092628980408	132	1:37:16
11.2%	1115000	1014.9999999830924	-102339.69778789859	201.00881630393476	132	1:37:12
11.2%	1120000	1019.9999999829741	-102075.14579552598	203.06939204633838	132	1:37:09
11.2%	1125000	1024.999999982856	-102620.35488533415	200.8236896165751	132	1:37:05
11.3%	1130000	1029.9999999827378	-102289.6056168247	200.6746973634478	132	1:37:02
11.3%	1135000	1034.9999999826196	-102366.87622614624	202.4629764085773	132	1:36:59
11.4%	1140000	1039.9999999825013	-101143.52549808938	202.56814125466246	132	1:36:55
11.4%	1145000	1044.999999982383	-102157.5255827615	204.739099451115	132	1:36:52
11.5%	1150000	1049.9999999822649	-102439.4298085724	201.9032029071065	132	1:36:49
11.6%	1155000	1054.9999999821466	-102620.78523705667	200.1116657581121	132	1:36:45
11.6%	1160000	1059.9999999820284	-101960.76178389182	200.8303104975005	132	1:36:41
11.7%	1165000	1064.9999999819102	-101923.91109618358	203.2343823743078	132	1:36:38
11.7%	1170000	1069.999999981792	-102198.94853277737	201.27418147556966	132	1:36:35
11.8%	1175000	1074.9999999816737	-102063.0211158623	198.6978388170146	132	1:36:32
11.8%	1180000	1079.9999999815554	-102401.4117766628	201.39690798951804	132	1:36:28
11.8%	1185000	1084.9999999814372	-102412.58700684644	201.72257580269044	132	1:36:25
11.9%	1190000	1089.999999981319	-102108.64562813845	199.0027536483254	132	1:36:22
11.9%	1195000	1094.9999999812007	-102194.01076615881	200.3089918667077	132	1:36:19
12.0%	1200000	1099.9999999810825	-101971.9095586203	199.78141784463494	132	1:36:15
12.1%	1205000	1104.9999999809643	-102365.82167663286	200.12636673440716	132	1:36:12
12.1%	1210000	1109.999999980846	-101967.920671497	204.59399295446195	132	1:36:08
12.2%	1215000	1114.9999999807278	-101863.51430881908	202.288013103828	132	1:36:06
12.2%	1220000	1119.9999999806096	-102675.92840357684	197.83592978179337	132	1:36:02
12.2%	1225000	1124.9999999804913	-101950.52197208907	199.33438686296816	132	1:35:59
12.3%	1230000	1129.999999980373	-102181.31786201661	201.307333892393	132	1:35:55
12.3%	1235000	1134.9999999802549	-102181.90983870439	204.0276057323504	132	1:35:52
12.4%	1240000	1139.9999999801366	-101289.33483408066	198.74790654348038	132	1:35:49
12.4%	1245000	1144.9999999800184	-102181.70811383799	202.75891261938693	132	1:35:45
12.5%	1250000	1149.9999999799002	-101780.53409396484	200.13711301112903	132	1:35:42
12.6%	1255000	1154.999999979782	-102487.21139492933	201.31109037385107	132	1:35:39
12.6%	1260000	1159.9999999796637	-102640.00795695558	198.84849395078052	132	1:35:35
