Loading parameters

Initial system energy
-102593.86190879252 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
6.2%	615000	514.9999999949158	-102953.30010756478	203.07245579747757	129	1:44:24
6.2%	620000	519.9999999947976	-102742.43510693032	203.13867348834307	129	1:44:21
6.2%	625000	524.9999999946793	-102741.73929562699	203.97630448990074	129	1:44:17
6.3%	630000	529.9999999945611	-102903.43110482395	202.60868221100392	129	1:44:12
6.3%	635000	534.9999999944429	-102793.47547129821	198.41150787340388	129	1:44:08
6.4%	640000	539.9999999943246	-102897.80178357521	203.90457085187282	129	1:44:05
6.5%	645000	544.9999999942064	-102564.44262420433	201.134047420093	130	1:44:01
6.5%	650000	549.9999999940882	-102491.45196212456	199.57423156477765	130	1:43:56
6.5%	655000	554.9999999939699	-102661.1496713669	203.51046129772087	130	1:43:52
6.6%	660000	559.9999999938517	-102745.5423513623	201.42078344072144	130	1:43:48
6.7%	665000	564.9999999937335	-102787.25131274667	202.9684158804248	130	1:43:45
6.7%	670000	569.9999999936152	-102820.897070223	202.30504356545106	130	1:43:40
6.8%	675000	574.999999993497	-102447.72364305798	202.36106083787507	130	1:43:36
6.8%	680000	579.9999999933788	-103148.89428365091	199.53832441765005	130	1:43:32
6.8%	685000	584.9999999932605	-102677.13489489118	204.9792549704028	130	1:43:29
6.9%	690000	589.9999999931423	-103020.62120707333	206.00585200060036	130	1:43:25
7.0%	695000	594.9999999930241	-102541.71309006307	197.35960127124378	130	1:43:20
7.0%	700000	599.9999999929058	-103024.03781991033	204.39624018698038	130	1:43:16
7.0%	705000	604.9999999927876	-103608.17440270726	199.30720673711568	130	1:43:13
7.1%	710000	609.9999999926694	-102450.20159813203	204.80334094364608	130	1:43:09
7.2%	715000	614.9999999925511	-101944.39070002828	207.71984290020626	130	1:43:05
7.2%	720000	619.9999999924329	-102487.06994101545	202.59027365740738	130	1:43:01
7.2%	725000	624.9999999923147	-102739.89365406102	202.80441855412096	130	1:42:58
7.3%	730000	629.9999999921964	-103097.21731179673	201.551465471047	130	1:42:54
7.3%	735000	634.9999999920782	-102843.88299440825	200.9052248420041	130	1:42:50
7.4%	740000	639.99999999196	-102490.56772708753	202.5423543363684	130	1:42:46
7.5%	745000	644.9999999918417	-102570.41204072023	203.02644125878862	130	1:42:43
7.5%	750000	649.9999999917235	-103017.19968171371	201.331021602796	130	1:42:39
7.5%	755000	654.9999999916053	-103074.0129547771	203.4250536978442	130	1:42:34
7.6%	760000	659.999999991487	-102900.25658889068	199.48271258514973	130	1:42:30
7.7%	765000	664.9999999913688	-102832.75863934308	203.62642827802247	130	1:42:26
7.7%	770000	669.9999999912505	-102705.04649722623	201.64418542613424	130	1:42:23
7.8%	775000	674.9999999911323	-103003.59174564388	199.84339263346936	130	1:42:19
7.8%	780000	679.9999999910141	-102641.66154099395	199.95029977817623	130	1:42:16
7.8%	785000	684.9999999908958	-102652.38125004573	199.6814917823499	130	1:42:12
7.9%	790000	689.9999999907776	-103549.1045923871	204.4714739109598	130	1:42:09
8.0%	795000	694.9999999906594	-102671.93951366004	204.11782725497773	130	1:42:05
8.0%	800000	699.9999999905411	-103174.88916224148	202.5445889855084	130	1:42:01
8.1%	805000	704.9999999904229	-102992.46911120648	201.3071392505278	130	1:41:57
8.1%	810000	709.9999999903047	-103349.09845729452	201.86239272264007	130	1:41:54
8.2%	815000	714.9999999901864	-102177.44863796234	203.58107513060966	130	1:41:50
8.2%	820000	719.9999999900682	-101627.2760957377	205.46282512935394	130	1:41:46
8.2%	825000	724.99999998995	-102688.4877662207	201.00448848181054	130	1:41:42
8.3%	830000	729.9999999898317	-102850.72616879176	200.23587326126776	130	1:41:39
8.3%	835000	734.9999999897135	-103019.56408610335	201.40588407269158	130	1:41:35
8.4%	840000	739.9999999895953	-101771.12810922088	204.8379500219948	130	1:41:31
8.4%	845000	744.999999989477	-103195.49906956358	203.07606814326047	130	1:41:27
8.5%	850000	749.9999999893588	-102727.47005539667	200.1704059675594	130	1:41:24
8.6%	855000	754.9999999892406	-103169.6358004096	201.37252066326695	130	1:41:20
8.6%	860000	759.9999999891223	-102304.74668609444	200.40798391112907	130	1:41:17
8.7%	865000	764.9999999890041	-102531.35653661797	201.24694041848582	130	1:41:13
8.7%	870000	769.9999999888859	-102537.58238261566	203.10187820767075	130	1:41:09
8.8%	875000	774.9999999887676	-102667.10725033749	200.09097316317494	130	1:41:06
8.8%	880000	779.9999999886494	-103090.34680978442	200.06088845325584	130	1:41:02
8.8%	885000	784.9999999885312	-102809.81919805426	201.83617421409772	130	1:40:58
8.9%	890000	789.9999999884129	-102637.96352205612	204.18414508305557	130	1:40:54
8.9%	895000	794.9999999882947	-102960.20425695553	199.53756104260796	130	1:40:51
9.0%	900000	799.9999999881765	-102811.55317920912	202.1043447534189	130	1:40:47
9.1%	905000	804.9999999880582	-103000.0686469595	207.55045323955622	130	1:40:44
9.1%	910000	809.99999998794	-102340.27173906239	199.88152597941095	130	1:40:40
9.2%	915000	814.9999999878218	-102580.47236905387	209.56763394872843	130	1:40:37
9.2%	920000	819.9999999877035	-102829.04606081638	200.44514979169762	130	1:40:33
9.2%	925000	824.9999999875853	-102530.946154078	200.16517703666216	130	1:40:29
9.3%	930000	829.999999987467	-102981.98353453213	199.67343659585583	130	1:40:25
9.3%	935000	834.9999999873488	-102564.20393698849	200.09150837489017	130	1:40:22
9.4%	940000	839.9999999872306	-102646.932623317	198.2871264492359	130	1:40:19
9.4%	945000	844.9999999871123	-102641.32747938158	203.82019363749043	130	1:40:15
9.5%	950000	849.9999999869941	-102827.9803126771	201.38200825620132	130	1:40:11
9.6%	955000	854.9999999868759	-102762.96427143505	196.35725238076526	130	1:40:07
9.6%	960000	859.9999999867576	-102280.43845407758	202.3733646879791	130	1:40:04
9.7%	965000	864.9999999866394	-103230.93228772981	202.67084466743074	130	1:40:01
9.7%	970000	869.9999999865212	-102861.44512762874	204.35643780094037	130	1:39:57
9.8%	975000	874.9999999864029	-102409.02524765674	204.98389147300716	130	1:39:53
9.8%	980000	879.9999999862847	-103050.31623949436	201.71199739769528	130	1:39:50
9.8%	985000	884.9999999861665	-102949.28561874619	202.7403957566401	130	1:39:46
9.9%	990000	889.9999999860482	-102369.57601534529	202.82682576501182	130	1:39:43
9.9%	995000	894.99999998593	-103130.41819338733	200.1643268671977	130	1:39:39
10.0%	1000000	899.9999999858118	-103184.18836924993	202.88647561729294	130	1:39:35
10.1%	1005000	904.9999999856935	-102747.58368318249	201.00266386038726	130	1:39:32
10.1%	1010000	909.9999999855753	-103463.034925282	202.81217453728303	130	1:39:29
10.2%	1015000	914.9999999854571	-102975.69152198639	206.94343548196267	130	1:39:25
10.2%	1020000	919.9999999853388	-103027.0673130923	203.71664607724827	130	1:39:22
10.2%	1025000	924.9999999852206	-102623.80523361918	196.47860405648726	130	1:39:18
10.3%	1030000	929.9999999851024	-103094.99991874304	202.0820358331381	130	1:39:15
10.3%	1035000	934.9999999849841	-103257.46729567135	198.8003232967627	130	1:39:11
10.4%	1040000	939.9999999848659	-102307.5318227848	201.95815925780073	130	1:39:07
10.4%	1045000	944.9999999847477	-102803.69508719258	202.93641249813277	130	1:39:05
10.5%	1050000	949.9999999846294	-102458.74870427093	201.25875822542335	130	1:39:01
10.6%	1055000	954.9999999845112	-102389.788387815	200.50173760539082	130	1:38:57
10.6%	1060000	959.999999984393	-103065.49979403289	202.91598111384488	130	1:38:53
10.7%	1065000	964.9999999842747	-102890.67764804699	201.23112458413775	130	1:38:50
10.7%	1070000	969.9999999841565	-102481.87918373803	202.12190569236685	130	1:38:46
10.8%	1075000	974.9999999840383	-102321.34664848959	202.89674806720882	130	1:38:42
10.8%	1080000	979.99999998392	-102300.69067819556	201.7815169960889	130	1:38:38
10.8%	1085000	984.9999999838018	-102909.52027451433	202.97129814579412	130	1:38:35
10.9%	1090000	989.9999999836836	-103738.61407749495	202.01414488479833	130	1:38:32
10.9%	1095000	994.9999999835653	-102513.76001256937	205.05425106084985	130	1:38:28
11.0%	1100000	999.9999999834471	-102854.81280695833	200.48896272409385	130	1:38:24
11.1%	1105000	1004.9999999833288	-102904.41203670017	203.34241224605532	130	1:38:21
11.1%	1110000	1009.9999999832106	-103175.98706342746	206.0095601032132	130	1:38:17
11.2%	1115000	1014.9999999830924	-102402.93512786366	204.31044532112625	130	1:38:14
11.2%	1120000	1019.9999999829741	-102301.54316120129	197.97579922440312	130	1:38:10
11.2%	1125000	1024.999999982856	-102349.53973453538	203.4505212626496	130	1:38:07
11.3%	1130000	1029.9999999827378	-102267.46528345207	198.45732771024066	130	1:38:03
11.3%	1135000	1034.9999999826196	-102884.43327779137	197.5645244029821	130	1:38:00
11.4%	1140000	1039.9999999825013	-102578.36201932887	202.33606882821346	130	1:37:56
11.4%	1145000	1044.999999982383	-102507.89603801444	199.47000340945743	130	1:37:52
11.5%	1150000	1049.9999999822649	-102701.6076877322	196.7436500558705	130	1:37:49
11.6%	1155000	1054.9999999821466	-102434.81644702377	197.0008095872626	130	1:37:46
11.6%	1160000	1059.9999999820284	-102773.89683275297	195.7804300281493	130	1:37:42
11.7%	1165000	1064.9999999819102	-102668.02870521322	204.8409328866657	130	1:37:38
11.7%	1170000	1069.999999981792	-102992.71147807455	201.8223736016376	130	1:37:35
11.8%	1175000	1074.9999999816737	-102161.74757112702	198.2103048917313	130	1:37:31
11.8%	1180000	1079.9999999815554	-102764.00569795538	201.24244549763077	130	1:37:28
11.8%	1185000	1084.9999999814372	-102326.99892293476	200.04518143651785	130	1:37:24
11.9%	1190000	1089.999999981319	-102897.17415201385	204.0942730424468	130	1:37:21
11.9%	1195000	1094.9999999812007	-102788.25111970538	201.82171176692998	130	1:37:17
12.0%	1200000	1099.9999999810825	-102794.81700761104	201.24175019811935	130	1:37:14
12.1%	1205000	1104.9999999809643	-102732.7947965553	202.77084942836595	130	1:37:10
12.1%	1210000	1109.999999980846	-102778.0115537364	199.67857491942212	130	1:37:07
12.2%	1215000	1114.9999999807278	-102668.35359943565	204.73410789006715	130	1:37:03
12.2%	1220000	1119.9999999806096	-102176.47030224139	202.54644836907198	130	1:37:00
12.2%	1225000	1124.9999999804913	-102692.79425529856	201.27384559124732	130	1:36:56
12.3%	1230000	1129.999999980373	-102738.42757957289	202.96068833274768	130	1:36:52
12.3%	1235000	1134.9999999802549	-102627.26445943164	205.7073464867199	130	1:36:49
12.4%	1240000	1139.9999999801366	-103247.6879496621	203.77741381060244	130	1:36:46
12.4%	1245000	1144.9999999800184	-102870.30552786682	202.3650037457155	130	1:36:42
12.5%	1250000	1149.9999999799002	-102932.53723189514	199.08660937661952	130	1:36:38
12.6%	1255000	1154.999999979782	-102636.05428588344	203.43844421039455	130	1:36:35
12.6%	1260000	1159.9999999796637	-102463.6994432793	204.36756925707064	130	1:36:31
12.7%	1265000	1164.9999999795455	-102362.20396009367	202.10152820323876	130	1:36:28
12.7%	1270000	1169.9999999794272	-102314.34087722655	202.71092541865477	130	1:36:24
12.8%	1275000	1174.999999979309	-102788.22907155287	197.04020220816	130	1:36:21
12.8%	1280000	1179.9999999791908	-102586.3101163269	196.96933610900257	130	1:36:17
12.8%	1285000	1184.9999999790725	-102128.14102782635	198.5321195333712	130	1:36:14
12.9%	1290000	1189.9999999789543	-102715.57674780441	205.42350797726692	130	1:36:10
